Price,Area,No. of Bedrooms
5002000,1215,2
5036000,1224,2
6736000,1350,2
8233000,1650,3
6761000,1355,3
6611000,1325,2
6287000,1260,2
6437000,1290,2
6112000,1225,2
6487000,1300,2
9412000,1247,2
10500000,1486,3
10200000,1433,3
4722000,1152,2
4586000,1119,2
4582000,1118,2
6787000,1656,3
9319000,1629,3
6892000,1237,2
9277000,1275,2
11600000,1615,3
10900000,1515,3
10500000,1455,3
9859000,1360,3
6973999,1409,3
5705000,1139,2
5772000,1154,2
6720999,1353,3
6761000,1362,3
5677000,1133,2
5384000,1068,2
9141000,1540,3
9522000,1610,3
10000000,1715,3
7211000,1195,2
8514000,1425,3
10300000,1760,3
7783000,1300,2
7429000,1235,2
7809999,1305,2
3506000,660,1
6250000,1120,2
6250000,1120,2
3797999,715,1
3797999,715,1
5034000,910,2
5034000,910,2
7897000,1430,3
7897000,1430,3
5327000,965,2
5327000,965,2
8269000,1500,3
8269000,1500,3
5958000,1065,2
5958000,1065,2
6900000,1273,2
9700000,1705,3
7300000,1304,2
9180000,1700,3
6986000,1277,2
6081000,1111,2
7891000,1443,3
6070000,1109,2
5961000,1089,2
8442000,1544,3
9003000,1647,3
5923000,1082,2
6174000,1128,2
5994000,1095,2
8180000,1496,3
7662000,1401,3
8763000,1538,3
8957000,1573,3
6581000,1181,2
9640000,1687,3
6664000,1196,2
6631000,1190,2
10000000,1766,3
9879000,1730,3
8529000,1532,3
7252000,1305,2
9037000,1645,3
7298000,1315,2
10400000,1950,3
9520000,1750,3
7229000,1300,2
9887000,1830,3
10300000,1935,3
7159999,1285,2
10700000,2010,3
8900000,1615,3
9382000,1720,3
7344000,1325,2
7091000,1270,2
6279000,1320,3
5306000,1100,2
6655000,1405,3
5195000,1075,2
5483000,1140,2
5527000,1150,2
6412000,1350,3
6036000,1265,3
4930000,1015,2
6611000,1395,3
5173000,1070,2
6058000,1270,3
6279000,1320,3
5085000,1050,2
6434000,1355,3
5262000,1090,2
6681999,1485,3
6525000,1450,3
6997000,1555,3
6097000,1355,3
6120000,1360,3
6142000,1365,3
6727000,1495,3
6277000,1395,3
6750000,1500,3
6456999,1435,3
5240000,1310,3
4120000,1030,2
7012000,1275,3
8195000,1490,3
8050000,1706,3
5900000,1258,2
8100000,1723,3
6400000,1369,2
6275000,1335,2
14400000,2000,3
13700000,1900,3
11399999,1560,3
4500000,1097,2
5240000,1310,3
4120000,1030,2
29600000,3300,4
8954000,1216,2
8800000,1195,2
15400000,2321,3
11000000,1655,3
9122000,2172,3
5267000,1505,3
3507000,1002,2
4816000,1376,3
4312000,1232,2
5295000,1513,3
3696000,1056,2
4140000,1183,2
3832000,1095,2
3377000,965,2
4560000,1303,3
5015000,1433,3
3769000,1077,2
3447000,985,2
4956000,1416,3
5323000,1521,3
3954999,1130,2
3419000,977,2
5351000,1529,3
4434000,1267,3
7837000,1866,3
9834000,2235,3
8298999,1976,3
8728000,2182,3
9453000,1725,3
15000000,1795,2
8900000,1000,1
14400000,1740,2
12700000,1490,2
12500000,1320,3
20099999,2330,4
18800000,2165,3
13700000,1645,2
18900000,1985,3
8500000,1616,3
12000000,2225,3
9000000,1541,3
9300000,1515,3
11000000,1690,3
12000000,2225,3
18000000,1770,3
29300000,3012,4
22799999,2370,3
3200000,700,1
3200000,700,1
11000000,1335,2
9800000,1690,3
42500000,4282,4
13500000,1500,3
15600000,1880,3
18900000,1985,3
15400000,1795,2
12300000,1410,2
6845999,1042,2
9173000,1408,3
9471000,1455,3
7247000,1105,2
5599000,1120,2
11800000,1345,1
4815000,1107,2
4880000,1122,2
5050000,1161,2
4619000,1062,2
4785000,1100,2
4972000,1143,2
4737000,1089,2
4854000,1116,2
28300000,3033,4
21400000,2378,3
23500000,2522,3
29900000,3205,4
9200000,1376,2
8000000,1168,2
9200000,1373,2
8000000,1168,2
8000000,1168,2
9300000,1376,2
7900000,1168,2
9200000,1376,2
9100000,1373,2
9000000,1373,2
7900000,1168,2
7900000,1160,2
8000000,1168,2
7800000,1160,2
9200000,1373,2
9100000,1376,2
9100000,1373,2
9000000,1373,2
7900000,1168,2
8800000,1373,2
3990000,1140,3
4021000,1149,3
4088000,1168,3
9060000,1275,2
8644000,1210,2
8836000,1240,2
10200000,1450,3
8528000,1192,2
8516000,1190,2
8804000,1235,2
9910000,1400,3
7634000,1606,3
5970000,1239,2
7675000,1615,3
5702000,1180,2
6210000,1292,2
2520000,900,2
3304000,1180,3
3010000,1075,3
2800000,1000,2
2464000,880,2
5557000,1185,2
11900000,2540,3
7738000,1650,3
6354000,1355,2
2814000,600,1
5463000,1165,2
7456999,1590,3
5416000,1155,2
11700000,2495,3
5604000,1195,2
7175000,1530,3
7504000,1600,3
5628000,1200,2
5200000,884,2
5200000,884,2
6385000,1120,2
6531999,1005,2
9457000,1455,3
9035000,1390,3
6662000,1025,2
7181999,1105,2
7377000,1135,2
7125000,1425,3
6389000,1125,2
6459000,1125,2
11800000,2021,3
11500000,1971,3
7920000,1354,2
10700000,1845,3
10600000,1823,3
8464000,1447,2
8184000,1399,2
10100000,1735,3
8178000,1398,2
11299999,1940,3
10100000,1743,3
8289000,1417,2
7856000,1343,2
8254000,1411,2
7820999,1337,2
11700000,2010,3
10500000,1797,3
10300000,1768,3
4455000,990,2
4905000,1090,2
5550000,1250,2
4500000,1012,2
13000000,1630,3
5500000,1082,2
20700000,1987,3
3999000,1333,3
3522000,1174,3
2874000,958,2
3682000,1473,3
3427000,1371,3
3932000,1573,3
3822000,1529,3
2487000,995,2
5580000,1240,3
5130000,1140,3
4910000,884,2
4910000,884,2
4342000,1241,3
3338000,954,2
2578000,737,2
3415000,976,2
3114000,890,2
2879000,823,2
4485000,1282,3
3124000,893,2
4713000,1347,3
4517000,1291,2
4734000,1353,3
3159000,903,2
4219000,1206,3
4734000,1353,3
2578000,743,2
3645000,1042,2
4342000,1241,2
2253000,644,1
2893000,827,2
2614000,747,2
10500000,2000,3
4867000,1352,3
4735000,1352,3
2653000,737,2
2862000,795,2
3339000,954,2
2962000,823,2
2880000,823,2
2318000,644,1
2254000,644,2
2254000,644,1
2973000,826,2
4870000,1353,3
2781000,795,2
4713000,1347,3
2613000,747,2
4562000,1304,3
4783000,1367,2
4342000,1241,2
2879000,823,2
5045000,1370,3
4362000,1175,2
5500000,1500,3
4565000,1233,2
4000000,1100,2
4800000,1300,3
4485000,1210,2
4011999,1075,2
4520000,1220,2
4292000,1155,2
4730000,1280,3
4975000,1350,3
4905000,1330,3
4222000,1135,2
3995000,1070,2
8076000,2019,3
4700000,1005,2
3579000,1193,3
3372000,1124,2
2922000,974,2
2844000,948,2
2901000,967,2
2820000,940,2
4458000,1486,3
3483000,1161,3
3699000,1233,3
3906000,1302,3
2889000,963,2
3429000,1143,2
4164000,1388,3
3384000,1128,2
2935000,1174,2
4097000,1639,3
3202000,1281,2
2867000,1147,2
3411999,1365,3
2436000,870,2
2800000,1000,2
3010000,1075,3
2520000,900,2
3038000,1085,2
3010000,1075,3
3177000,710,1
10600000,2674,3
7200000,1195,2
20400000,2360,3
17600000,2307,3
20200000,2127,3
10200000,1232,2
4002000,1040,2
4568000,1187,2
4056000,1054,2
4303000,1118,2
4299000,1117,2
4541000,1180,2
4210000,1094,2
4195000,1090,2
4226000,1098,2
4638000,1205,2
4699000,1221,3
4426000,1150,2
3925000,1020,2
4345000,1129,2
4086999,1062,2
4076000,1059,2
4072000,1058,2
4614000,1199,2
4054000,1448,3
3500000,1250,3
4165999,1488,3
3068000,1096,2
4174000,1491,3
3052000,1090,2
3085000,1102,2
3264000,1166,2
2576000,920,2
3197000,1142,2
4342000,1551,3
3178000,1135,2
3913000,1505,3
3561999,1370,3
4292000,1533,3
2899000,1115,2
2925000,1125,2
2984000,1066,2
3809000,1465,3
6698000,1675,3
4958000,1240,2
4958000,1240,2
4878000,1220,2
4878000,1220,2
4898000,1225,2
4898000,1225,2
5078000,1270,2
5078000,1270,2
4500000,1075,2
3010000,1075,3
2436000,870,2
2800000,1000,2
3388000,1210,3
2520000,900,2
3038000,1085,2
2464000,880,2
4500000,1075,2
5797000,1414,3
4928000,1120,2
4147000,1185,3
4400000,1000,2
7211000,1373,3
5910000,1109,2
7423000,1415,3
9227000,1782,3
7263000,1383,3
6494000,1227,2
8458000,1626,3
9094000,1755,3
7847000,1502,3
6520999,1233,2
7184000,1367,3
5858000,1098,2
7689000,1470,3
6415000,1211,3
5752000,1077,2
6388000,1206,2
7078000,1346,3
5804000,1087,2
11200000,2185,3
7608000,1453,3
6361000,1200,2
8192000,1572,3
6255000,1179,2
8830000,1701,3
9517000,1841,3
7556000,1443,3
7554000,1442,3
6228000,1173,2
7581000,1448,3
10800000,2121,3
6203000,1168,2
7398000,1411,3
6070000,1141,2
6733000,1276,3
6125000,1152,2
8086000,1550,3
7290000,1389,3
6654000,1260,3
7980000,1529,3
7322000,1395,3
6043000,1136,2
6706000,1270,3
7342000,1399,3
7800000,1650,3
6800000,1500,3
4455000,1100,2
4100000,1000,2
5700000,1140,2
6000000,1220,2
5755000,1150,2
6695000,1350,3
5896000,1180,2
5600000,1130,2
5800000,1160,2
6577000,1325,3
5473000,1090,2
5849000,1170,2
5825000,1165,2
4489000,1095,2
5800000,1160,2
16900000,1810,3
14900000,1740,3
14100000,1630,3
12100000,1440,2
10700000,1245,2
4831000,1098,2
3632000,1215,3
2960000,990,2
3363000,1125,2
3087000,950,2
3981000,1225,3
3331000,1025,2
2096000,645,1
8218000,1505,3
8370999,1535,3
8039000,1470,3
5868000,1045,2
6021000,1075,2
7194000,1290,2
7581000,1380,2
8137000,1465,3
28000000,2790,4
13000000,1320,2
26000000,3300,4
10500000,1500,3
11500000,2087,3
12500000,2142,3
11000000,1850,3
12000000,1930,3
2800000,1000,1
4407000,1075,2
4407000,1075,2
14000000,2170,3
10900000,1691,3
4325000,1055,2
4489000,1095,2
29900000,3205,4
28300000,3033,4
23500000,2522,3
23100000,2480,3
21400000,2378,3
7830000,1800,3
5968000,1372,2
6085000,1242,2
5439000,1110,2
6762000,1380,3
5488000,1120,2
5478000,1118,2
7438000,1518,3
6791000,1386,3
5997000,1224,2
6654000,1358,3
5987000,1222,2
7006999,1430,3
3567000,728,1
6051000,1235,2
7026000,1434,3
5938000,1212,2
6237000,1273,2
5978000,1220,2
5620000,1147,2
6149000,1255,2
7193000,1468,3
6193000,1264,2
9369000,1735,3
8073000,1495,3
9180000,1700,3
7028000,1440,3
6148000,1245,2
7344000,1510,3
6419000,1305,2
5584000,1120,2
6374000,1295,3
6058000,1225,2
6983000,1430,3
6396000,1300,2
7163000,1470,3
6283000,1275,2
6893000,1410,3
5674000,1140,2
6915000,1415,3
7095999,1455,3
7389000,1520,3
6216000,1260,2
7412000,1525,3
5606000,1125,2
6193000,1255,2
5651000,1135,2
35500000,2936,3
11399999,1597,3
10800000,1514,3
10200000,1431,2
9800000,1365,2
7900000,1205,2
6570000,1007,2
22799999,2243,3
21200000,2051,3
7200000,1350,3
6500000,1225,3
6200000,1165,2
4732000,1315,3
4750000,1320,2
4498000,1250,2
4870000,1290,3
4642000,1290,2
4912000,1365,3
5398000,1500,3
4318000,1200,2
3010000,1075,3
2436000,870,2
2800000,1000,2
3388000,1210,3
2520000,900,2
10800000,1745,3
8868000,1417,2
11399999,1814,3
9366000,1503,2
11200000,1814,3
9888000,1595,3
10800000,1759,3
25500000,1839,3
34000000,2461,4
17500000,1249,2
34500000,2503,4
19500000,1385,2
7100000,1286,3
6400000,1163,2
5500000,966,2
4300000,814,2
3800000,708,2
26000000,3360,4
18600000,2210,3
17300000,1930,3
17100000,1890,3
11800000,1330,2
7341000,1635,3
6398000,1425,3
5837000,1300,2
4512000,1005,2
66900000,4600,4
170600000,8331,5
182300000,8902,5
74300000,5112,5
60100000,6500,4
36000000,3900,4
36000000,3895,4
52200000,5654,4
50800000,5500,4
49600000,4622,4
46400000,4322,4
64000000,4400,4
61100000,4200,3
198600000,9700,5
53400000,3670,3
202700000,9900,5
170000000,8300,5
157700000,7700,4
56700000,3897,3
6594000,1570,3
5922000,1410,3
6636000,1580,3
6762000,1610,3
5019000,1195,2
6678000,1590,3
6720000,1600,3
5040000,1200,2
6573000,1565,3
8353000,1638,3
8078000,1584,3
6568000,1288,2
7756999,1521,3
7252000,1422,3
6970999,1367,3
8749000,1839,3
6870000,1419,2
8243000,1726,3
19500000,2597,4
6331000,1447,3
18500000,2569,4
9730000,2219,3
6641000,1525,3
7520999,1727,3
11100000,1274,2
14200000,1588,3
5739000,1300,2
10500000,1204,2
6667000,1531,3
19100000,2140,3
7177000,1375,2
6831999,1309,2
6138000,1176,2
7151000,1370,2
9620000,1843,3
6890000,1320,2
9610000,1841,3
10100000,1950,3
8137000,1559,3
8749000,1839,3
7819000,1498,3
6870000,1419,2
9396000,1800,3
8243000,1726,3
8712000,1669,3
6994000,1340,2
6989000,1339,2
8649000,1657,3
9709000,1860,3
8665000,1660,3
9385000,1798,3
6953000,1332,2
8691000,1665,3
5102000,1179,2
5137000,1188,2
5244000,1215,2
5279000,1224,2
5700000,1414,2
5070000,935,2
6183000,1350,3
6183000,1350,3
5610000,1225,2
5610000,1225,2
5413000,1030,2
10900000,905,3
10500000,972,3
9500000,1270,2
12500000,1550,3
12000000,1550,3
10400000,1460,3
13500000,1830,3
3447000,985,2
5797000,1414,3
8216000,1467,2
11600000,2067,3
10100000,1808,3
8864000,1085,3
8019000,1050,3
64000000,2772,3
4611000,1048,2
6221000,1428,3
5380000,1255,2
7631999,1482,3
6612000,1284,2
5443000,1057,2
18000000,1800,3
6200000,1400,3
35900000,1998,3
24900000,1388,3
26900000,1498,2
19400000,1078,2
8000000,1265,2
27400000,2187,4
15000000,1196,2
8200000,1600,3
7500000,1480,3
6500000,1172,2
6000000,1135,2
9000000,1885,3
6900000,1440,3
6950000,1392,2
6711000,1320,3
4209000,771,1
5478000,1128,2
3267000,568,1
11100000,2221,4
6731000,1268,2
6385000,1272,2
10800000,2147,4
9278000,1275,2
9859000,1360,3
14800000,2616,3
7400000,1323,3
7200000,1207,2
4500000,792,2
4553000,800,2
21500000,2976,3
21300000,2916,3
16200000,2254,3
16000000,2212,3
16000000,2212,3
4518000,795,2
28800000,3963,4
28500000,3891,4
11299999,2180,4
11299999,2180,4
9516000,1830,4
10100000,1960,3
7331999,1410,3
9802000,1885,2
6526000,1255,2
6526000,1255,2
11000000,1805,3
11000000,1805,3
7200000,1207,2
6100000,1043,2
24300000,2563,3
24100000,2536,3
23600000,2482,3
11600000,1615,3
20900000,2200,3
41200000,4336,4
40599999,4273,4
38400000,4046,4
33800000,3563,4
32900000,3463,4
25700000,2700,4
9278000,1275,2
7200000,1098,3
28100000,3832,4
21500000,2893,4
13600000,1939,3
11399999,1628,3
21500000,2893,4
21000000,2825,4
22000000,3044,3
11600000,1615,3
20900000,2200,3
11500000,1476,3
12500000,1527,3
10500000,1265,3
10900000,1515,3
6000000,940,2
28100000,3832,4
21500000,2893,4
5000000,1090,1
4800000,1020,1
23200000,2437,3
11800000,1687,3
12000000,1712,3
12700000,1812,3
13400000,1911,3
38900000,3870,4
6000000,1135,2
5367000,1020,2
5206000,985,2
5183000,980,2
9700000,1555,3
9300000,1482,3
31800000,2540,4
7706000,1376,2
12300000,2202,3
9400000,1530,3
8600000,1404,3
7200000,1157,2
9800000,1565,3
7900000,1255,2
6800000,1305,1
7200000,1395,1
7200000,1395,1
4340000,1240,2
4147000,1185,2
3920000,1120,2
2940000,840,2
4602000,1315,2
4532000,1295,2
4322000,1235,2
2660000,760,1
5617000,1605,3
3220000,920,2
2310000,660,1
4270000,1220,2
2835000,810,1
4272000,1000,2
4272000,1055,2
4100000,1000,2
7320000,1395,2
7150000,1395,1
6700000,1305,1
7150000,1395,1
7150000,1395,1
6850000,1305,2
7300000,1395,2
6800000,1305,1
7100000,1340,2
6800000,1290,1
7100000,1395,1
3447000,985,2
4489000,1095,2
4489000,1095,2
4455000,1100,2
4407000,1075,2
4455000,1100,2
4455000,1100,2
4407000,1075,2
4407000,1075,2
61300000,5600,4
57500000,5249,4
48700000,4449,4
30900000,3103,3
30600000,3077,3
27000000,2711,3
26600000,2671,3
3911000,954,2
4495000,1110,2
5550000,1250,2
4500000,1012,2
25400000,1839,3
19300000,1385,2
13899999,1623,3
29600000,4237,4
19500000,2795,3
7500000,1273,2
33900000,2461,4
25400000,1839,3
17400000,1249,2
11800000,1378,2
10000000,1169,2
21800000,3122,4
9900000,1705,3
4100000,1000,2
5719000,1271,2
4272000,1055,2
5797000,1414,2
4455000,1100,1
14300000,1788,3
5480000,1370,3
4556000,1139,2
4616000,1154,2
4896000,1224,2
4656000,1164,2
5719000,1271,2
4212000,1040,2
4407000,1075,2
9100000,1485,3
8400000,1300,2
7100000,1135,2
6100000,960,2
23100000,3245,4
13700000,2150,4
11000000,1590,3
10300000,1500,3
9500000,1415,2
40000000,2942,4
25000000,2368,4
20000000,1946,3
17700000,1752,3
14400000,1483,2
37000000,3729,4
31000000,2927,3
7300000,1463,3
5500000,1150,2
7223999,1720,3
5552000,1322,2
5166000,1230,2
14600000,1836,3
14200000,1778,3
15800000,1980,3
5640000,705,1
11100000,1392,2
14600000,1825,3
13200000,1659,3
10600000,1596,3
10600000,1574,3
8200000,1173,2
10500000,1561,3
9800000,1450,3
8100000,1180,2
8100000,1180,2
29400000,3112,4
23000000,2370,3
23000000,2370,3
23000000,2370,3
4557000,1085,2
4242000,1010,2
4620000,1100,2
5719000,1271,2
7242000,1541,3
6509000,1385,2
6819000,1451,3
6669000,1419,3
5701000,1213,2
5964000,1269,2
5503000,1171,2
5625000,1197,2
4489000,1095,2
4995000,1100,2
4995000,1100,2
4100000,1000,2
5797000,1414,3
4407000,1075,2
4294000,976,2
4212000,1040,2
4455000,1055,2
4590000,1080,2
4738000,1115,2
4653000,1095,2
4781000,1125,2
4505000,1060,2
4632000,1090,2
5100000,1200,2
13400000,1800,3
15600000,2170,3
12200000,1691,3
15700000,1800,3
14100000,1682,3
7500000,1239,2
9200000,1270,2
13200000,1880,3
10400000,1460,3
7300000,1395,2
6655000,1305,2
7100000,1395,1
6700000,1305,2
7100000,1395,2
7100000,1395,2
6798999,1290,1
7298000,1395,1
32000000,3103,3
4160000,1000,2
5228000,1275,3
4373000,1055,2
5306000,1295,3
4431000,1070,2
9300000,1296,2
12400000,1706,3
11500000,1592,3
14800000,1785,3
7500000,1245,3
7500000,1239,2
14500000,1800,3
14100000,1682,3
10200000,1309,2
11500000,1682,3
9200000,1232,2
11000000,1482,3
12700000,1917,3
12700000,1917,3
14700000,2170,3
13400000,2035,3
13000000,2313,3
69000000,1438,3
6417000,1337,3
4569000,952,2
6459999,1346,3
6656999,1387,3
6523000,1359,3
6230000,1298,3
4972000,1036,2
4785000,997,2
6720000,1400,3
13700000,2424,4
9240000,1653,3
7180000,1235,2
3940000,644,1
6878000,1600,3
4599000,1070,2
15000000,2134,3
6533000,1110,2
5674000,1320,2
7467000,1345,2
11000000,1655,3
3800000,1000,2
3572000,940,2
3876000,1020,2
4099000,1015,2
11000000,1655,3
3304000,1180,3
3038000,1085,2
2464000,880,2
18800000,2165,3
15000000,1795,2
58099999,5249,4
5600000,1500,3
5451000,1608,3
5380000,1255,2
5356000,1580,3
5380000,1255,2
4440000,1200,2
4440000,1200,2
4500000,1300,2
5322000,1570,3
5380000,1255,2
5322000,1570,3
5530000,1580,3
5148000,1304,2
5200000,1200,2
5381000,1303,2
5148000,1196,2
4433000,1304,2
12700000,1490,3
35500000,2742,4
50000000,4689,4
22799999,2243,3
21200000,2051,3
2920000,677,1
2157000,525,1
35200000,2672,3
9500000,1380,3
6800000,985,2
6798000,1533,3
6172000,1384,3
5341000,1186,2
4938000,1090,2
3619000,776,1
3372999,711,1
8673000,1599,3
7456000,1365,3
6687000,1217,2
6448000,1171,2
9458000,1726,3
4000000,1005,2
10700000,1536,3
18600000,2210,3
8434000,1535,3
8509000,1485,3
5426000,1080,2
8400000,1047,2
16200000,1970,3
23200000,2860,4
13500000,1695,3
11800000,1330,3
15000000,1815,3
17100000,1890,3
26000000,3360,4
13799999,1763,3
11100000,1397,3
17100000,2321,3
9100000,1216,2
20000000,2830,4
13400000,1917,3
9700000,1560,3
9100000,1450,3
7500000,1200,2
11399999,1650,3
9800000,1490,3
8100000,1240,2
4505000,1325,2
5032000,1480,3
3927000,1155,2
4369000,1285,2
5151000,1515,3
4352000,1280,2
4386000,1290,2
4046000,1190,2
4369000,1285,2
10600000,1460,3
9800000,1230,2
9799000,1274,2
8863000,1220,2
13799999,1591,3
8500000,1230,2
10600000,1445,3
6584999,1419,2
12700000,1787,3
9050000,1709,3
8500000,1590,3
7000000,1330,2
9050000,1709,3
6698999,1104,2
5499000,1220,2
9000000,1489,3
6800000,1299,2
8499000,1843,3
6498999,1270,2
6498999,1257,2
6800000,1195,2
7800000,1165,2
7800000,1340,2
7800000,1339,2
22500000,2220,3
24000000,2243,3
17200000,1776,3
22500000,2370,3
9000000,1603,3
6133000,1410,3
6416000,1475,3
6133000,1410,3
4306000,990,2
6416000,1475,3
4872000,1120,2
4306000,990,2
5002000,1150,2
4872000,1120,2
5002000,1150,2
7351000,1690,3
7351000,1690,3
4611000,1060,2
4611000,1060,2
6938000,1595,3
6938000,1595,3
5972000,1471,2
5100000,1340,3
4600000,1340,3
12000000,1773,3
12200000,1811,3
10200000,1483,2
12400000,1816,3
9595000,1389,2
11900000,1761,3
5050000,1260,2
3735000,920,1
5180000,1295,3
3700000,920,2
3735000,920,1
5050000,1260,3
4099000,1015,2
3735000,920,2
3735000,920,2
3735000,920,2
3734000,920,2
4099000,1015,2
4099000,1015,2
4800000,1143,2
6514000,1551,3
4440000,1200,2
5000000,1196,2
5202000,1530,3
4440000,1306,2
5380000,1255,2
5739000,1693,3
6426000,1530,3
5800000,1540,3
5148000,1196,2
6028000,1419,2
5451000,1608,3
4400000,1200,2
5380000,1255,2
5739000,1693,3
6426000,1530,3
5800000,1540,3
5148000,1196,2
6028000,1419,2
4440000,1200,2
6400000,1530,3
5380000,1267,2
4440000,1200,2
5600000,1500,3
6466000,1530,3
5322000,1570,3
5739000,1693,3
5257000,1551,3
5451000,1608,3
6466000,1530,3
6413000,1527,3
5148000,1196,2
6400000,1530,3
4440000,1200,2
5000000,1196,2
5202000,1530,3
4440000,1306,2
4400000,1200,2
5322000,1570,3
5739000,1693,3
5257000,1551,3
5451000,1608,3
6466000,1530,3
5148000,1196,2
6400000,1530,3
5148000,1196,2
6466000,1530,3
6413000,1527,3
5040000,1200,2
5485000,1306,2
6426000,1530,3
4440000,1200,2
6459999,1530,3
4400000,1200,2
5148000,1196,2
6514000,1551,3
6400000,1530,3
6400000,1530,3
4440000,1200,2
4440000,1187,2
5959000,1419,2
5040000,1200,2
4440000,1200,2
6028000,1419,2
6400000,1530,2
5380000,1255,2
5023000,1196,2
5023000,1196,2
5400000,1295,2
5148000,1196,2
5400000,1303,2
4440000,1200,2
4784000,1196,2
4800000,1143,2
4440000,1200,2
3897999,1068,2
3761999,920,2
4110000,1005,2
4000000,1005,2
3958000,975,2
3735000,920,2
4079999,1005,2
4079999,1005,2
3929000,975,2
3820000,955,2
4220000,1055,2
4020000,1005,2
5077000,1260,3
4500000,1000,2
4400000,1000,2
15200000,1792,3
25600000,3012,4
20099999,2370,3
11900000,1850,3
12100000,1850,3
12300000,1850,3
12300000,1850,3
4100000,1100,2
6830000,1198,2
6750000,1198,2
6800000,1197,2
10000000,1482,3
8250000,1232,2
3840000,1000,2
10000000,1482,3
11600000,1691,3
3800000,1000,2
8200000,1232,2
11500000,1691,3
4000000,1000,2
3847999,1000,2
10000000,1482,3
10000000,1482,3
8300000,1232,2
12000000,1691,3
3835000,1000,2
8300000,1232,2
8100000,1232,2
3825000,1000,2
3865000,1000,2
3900000,1005,2
4100000,1055,2
4000000,1000,2
4100000,1055,2
5300000,1365,3
4100000,1055,2
5300000,1365,3
5300000,1365,3
4100000,1055,2
5300000,1365,3
4100000,1050,2
13400000,1600,3
13500000,1600,3
13500000,1500,3
8450000,1300,3
7995000,1230,3
8874000,1305,3
7767000,1195,3
8450000,1300,3
13899999,1545,3
20099999,2240,3
15700000,1750,3
15700000,1750,3
9800000,1520,3
7650000,1180,2
7200000,1180,2
10200000,1520,3
12800000,1933,3
12600000,1826,3
13600000,1749,3
12600000,1749,3
12600000,1749,3
12400000,1739,3
10900000,1691,3
14000000,2170,3
10900000,1691,3
4751000,1145,2
4565000,1100,2
9222000,1590,3
8874000,1305,3
8450000,1300,3
13899999,1545,3
15500000,1730,3
9000000,1480,3
13899999,1545,3
11399999,1865,3
11200000,1865,3
11500000,1865,3
7600000,1241,2
7300000,1232,2
7450000,1221,2
7300000,1220,2
7000000,1210,2
7950000,1375,3
8350000,1368,3
8250000,1375,3
8050000,1368,3
7800000,1366,3
7800000,1358,3
7800000,1241,2
7450000,1232,2
4100000,1055,2
5300000,1365,3
4000000,1055,2
4100000,1055,2
4100000,1055,2
4100000,1055,4
4100000,1020,2
4200000,1055,2
3735000,920,1
3735000,920,1
3735000,920,1
5050000,1260,2
5100000,1260,3
4000000,1015,2
4200000,1055,2
5075000,1280,3
3975000,1005,2
